Kvantitet pr. kort,Total  kvantitet i ordre,Beskrivelse,Pris pr. enhet,Valuta,Pris totalt,Link til produkt
,,,,,,
29,87,"Board-To-Board Connector, 2.54 mm, 2 Contacts, Header, BG030 Series, Through Hole, 1 Rows","1,09",1,"94,83",http://no.farnell.com/global-connector-technology/bg030-02-a-0450-0300-n-g/connector-header-2pos-1row-2-54mm/dp/2751430
4,12,SWITCH TACTILE SPST-NO 0.05A 12V,"0,201",1,"2,412",https://www.digikey.com/product-detail/en/c-k/PTS645SH50SMTR92-LFS/CKN9085CT-ND/1146817
4,40,RES SMD 10K OHM 5% 1/10W 0603,"0,011","7,88","3,4672",https://www.digikey.com/products/en?keywords=311-10KGRCT-ND
12,60,LED RED CLEAR 0603 SMD,"0,129","7,88","60,9912",https://www.digikey.com/products/en?keywords=732-4978-1-ND
12,100,RES SMD 470 OHM 5% 1/10W 0603,"0,0104","7,88","8,1952",https://www.digikey.com/products/en?keywords=541-470GCT-ND
1,5,EFM32GG990F1024G-E-BGA112R,"7,98","7,88","314,412",https://www.digikey.com/product-detail/en/silicon-labs/EFM32GG990F1024G-E-BGA112R/336-3891-1-ND/6569212
3,10,"SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 µF, 10 V, ± 10%, X5R, C Series","3,56",1,"35,6",http://no.farnell.com/tdk/c1608x5r1a106k080ac/cap-mlcc-x5r-10uf-10v-0603/dp/2211164
3,10,"SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 0.01 µF, 50 V, ± 10%, X7R, MC Series","0,797",1,"7,97",http://no.farnell.com/multicomp/mc0603b103k500ct/cap-mlcc-x7r-10nf-50v-0603/dp/1759102?MER=bn_browse_1TP_MostPopular_2
5,15,"SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 0.1 µF, 50 V, ± 10%, X7R, MC Series","0,134",1,"2,01",http://no.farnell.com/multicomp/mc0603b104k500ct/cap-mlcc-x7r-100nf-50v-0603/dp/1759122?MER=bn_browse_1TP_MostPopular_1
2,100,"SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 12 pF, 50 V, ± 5%, C0G / NP0","0,0638",1,"6,38",http://no.farnell.com/walsin/0603n120j500ct/capacitor-mlcc-np0-12pf-50v-0603/dp/2496884
1,10,"SMD Chip Resistor, Thick Film, 1 ohm, 50 V, 0603 [1608 Metric], 100 mW, ± 1%, MCWR Series","0,0431",1,"0,431",http://no.farnell.com/multicomp/mcwr06w1r00ftl/res-thick-film-1r-1-0-1w-0603/dp/2447289
1,10,"Ferrite Bead, 1000 ohm, 0603 [1608 Metric], BLM18A Series, 400 mA, 0.5 ohm, ± 25%","0,43",1,"4,3",http://no.farnell.com/murata/blm18ag102sn1d/ferrite-bead-0-5ohm-0-4a-25-0603/dp/1515671
1,3,"IDC BOX HEADER .100"" 20POS","0,67","7,88","15,8388",https://www.digikey.com/product-detail/en/cnc-tech/3020-20-0100-00/1175-1612-ND/3441738
1,3,"Oscillator, SPXO, 48 MHz, SMD, 3.2mm x 2.5mm, 3.3 V, SG-310 Series","22,42",1,"67,26",http://no.farnell.com/epson/q33310f700025-sg-310scf-48-mhz-c/oscillator-spxo-sg-310scf-48-mhz/dp/1278070
1,2,"LS013B7DH03 - LCD TFT 1.28"" 128X128 FPC","21,62","7,88","340,7312",https://www.digikey.com/product-detail/en/sharp-microelectronics/LS013B7DH03/425-2903-ND/5300387 
1,3,"FFC / FPC Board Connector, 0.5 mm, 10 Contacts, Receptacle, WR-FPC Series, Surface Mount, Bottom","8,21",1,"24,63",http://no.farnell.com/wurth-elektronik/687110149022/connector-fpc-receptacle-10pos/dp/2470699
,,,,,,
,,,,,,
,,,Uten MVA,,"989,4586",
,,,Med MVA,,"1236,82325",